model_id,description,split,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,ece_mean,ece_std,threshold_mean,threshold_std
A1,"Full PACE-ASD (L=15, M=8)",val,0.8466666666666667,0.024037008503093236,0.9082264957264956,0.016993225822835335,0.8381568026343139,0.025642467141797097,0.8133547008547009,0.0352160802742703,0.8788461538461538,0.03786394724518549,0.09735656373451154,0.022134708194921148,0.5,0.0
A1,"Full PACE-ASD (L=15, M=8)",test,0.7733333333333333,0.03238655413730967,0.857905982905983,0.034622638260787375,0.7618260521014143,0.035059376392077686,0.7625,0.05448623679425841,0.7833333333333334,0.05407460694605933,0.16100581061467528,0.026330007756578785,0.5,0.0
A2,No-Block-ESG (dense Transformer),val,0.8246666666666667,0.025394662606321186,0.8907051282051281,0.012372422226982439,0.814650409734657,0.02442229389156274,0.8028846153846155,0.034167161096041426,0.8434829059829061,0.05511774813034134,0.09793828819443783,0.021633583853337114,0.5,0.0
A2,No-Block-ESG (dense Transformer),test,0.7526666666666667,0.01762573875520305,0.8424145299145298,0.03685432895289896,0.7360091251133231,0.0335890219743668,0.7305555555555556,0.07910572703276746,0.7730769230769231,0.047470534824547744,0.16456349685415628,0.023916293398492466,0.5,0.0
A3,"Frame-granularity gate (L=1, M=120)",val,0.85,0.02102908039411667,0.906517094017094,0.013256045860080098,0.8422418341186457,0.022115765517688724,0.8199786324786326,0.03366232426108581,0.8791666666666667,0.03423124272749971,0.09678087260201573,0.02030896595538322,0.5,0.0
A3,"Frame-granularity gate (L=1, M=120)",test,0.7646666666666667,0.0289904198735452,0.865491452991453,0.03204754251689051,0.7440379400524328,0.038102917213213315,0.7236111111111112,0.05448623679425844,0.8025641025641027,0.05261098597098254,0.16015492631246647,0.016814204366743735,0.5,0.0
A4,No-Transformer (linear head on ESG output),val,0.8493333333333333,0.030433899228035508,0.9108974358974358,0.01708199363476335,0.8394331559476488,0.036948997992416986,0.8087606837606838,0.057887845268664,0.8894230769230769,0.039265545867386835,0.09572712158722183,0.020846225927390372,0.5,0.0
A4,No-Transformer (linear head on ESG output),test,0.7526666666666667,0.029657301892713657,0.8624999999999998,0.022022804692189774,0.7337382614701456,0.03680014123504673,0.7138888888888888,0.06217508134888718,0.7884615384615385,0.04505457279693737,0.1645533397787561,0.029754034310707632,0.5,0.0
A5_lstm,Stacked LSTM,val,0.8333333333333334,0.04184627953726722,0.9013888888888888,0.01880190116253113,0.8324478017366899,0.034317071593933386,0.8138888888888889,0.0524262489468757,0.8523504273504272,0.10569884561296129,0.12758063972937334,0.024107154715918025,0.5,0.0
A5_lstm,Stacked LSTM,test,0.754,0.03589490833592485,0.8246794871794872,0.010926202186562237,0.7380339952784539,0.031891201102080616,0.7222222222222221,0.05624571314254608,0.7833333333333334,0.0991333252421708,0.17386821145480885,0.0243879586909245,0.5,0.0
